Year,Make,Model,Used/New,Price,ConsumerRating,ConsumerReviews,SellerType,SellerName,SellerRating,SellerReviews,StreetName,State,Zipcode,DealType,ComfortRating,InteriorDesignRating,PerformanceRating,ValueForMoneyRating,ExteriorStylingRating,ReliabilityRating,ExteriorColor,InteriorColor,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission,Engine,VIN,Stock#,Mileage
2020,Toyota,Tacoma SR,Used,"$33,888 ",4.7,123,Dealer,Chevrolet of Smithtown,4.4,175,920 Middle Country Rd St James,NY,11780,Great,4.7,4.7,4.6,4.7,4.9,4.8,Midnight Black Metallic,Cement,Four-wheel Drive,18,22,Gasoline,6-Speed Automatic,3.5L V6 24V PDI DOHC,3TMCZ5AN1LM343010,U13866,18675
2020,Toyota,Tacoma,Used,"$37,878 ",4.7,123,Dealer,C & C Dodge RAM Toyota,4.9,306,1305 Pike St Marietta,OH,45750,Great,4.7,4.7,4.6,4.7,4.9,4.8,Silver Sky,Cement,Four-wheel Drive,18,22,Gasoline,6-Speed Automatic,3.5L V6 24V PDI DOHC,3TMCZ5AN3LM346474,P6438,12494
2020,Toyota,Tacoma TRD Off Road,Used,"$38,459 ",4.7,123,Dealer,Performance Ford Lincoln Bountiful,4.4,570,1800 S Main St Bountiful,UT,84010,Great,4.7,4.7,4.6,4.7,4.9,4.8,Silver Sky Metallic,Cement,Four-wheel Drive,18,22,Gasoline,6-Speed Automatic,3.5L V6 24V PDI DOHC,3TMCZ5AN9LM331994,LM331994,49098
2021,Toyota,Tacoma TRD Pro,Used,"$45,200 ",4.8,85,Dealer,Autolocity Motors,4.2,197,3330 Wall Avenue Ogden,UT,84401,NA,4.8,4.8,4.6,4.7,4.9,4.9,Gray,Black,Four-wheel Drive,18,22,Gasoline,6-Speed Automatic,3.5L V6 24V PDI DOHC,5TFCZ5ANXMX250899,MX250899A,13141
2021,Toyota,Tacoma TRD Off Road,Used,"$46,498 ",4.8,85,Dealer,Cleveland Ford,4.8,6292,2496 S Lee Hwy Cleveland,TN,37311,Good,4.8,4.8,4.6,4.7,4.9,4.9,Midnight Black Metallic,–,Four-wheel Drive,18,22,Gasoline,6-Speed Automatic,3.5L V6 24V PDI DOHC,5TFCZ5AN4MX260280,P14930,17761
2019,Audi,Q8 3.0T Premium Plus,Used,"$56,899 ",4.8,27,Dealer,Jack Daniels Audi of Paramus,4.8,1150,123 Route 4 West Paramus,NJ,7652,Good,4.9,4.8,4.8,4.6,5,4.9,Glacier White Metallic,Black,All-wheel Drive,17,22,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,WA1EVAF18KD013792,P15787,36939
2019,Audi,Q8 Premium,Used,"$57,799 ",4.8,27,Dealer,Legend Porsche Audi VW,4.4,417,158 Merrick Rd Amityville,NY,11701,Good,4.9,4.8,4.8,4.6,5,4.9,Orca Black Metallic,Black,All-wheel Drive,17,22,Hybrid,Automatic,Intercooled Turbo Gas/Electric V-6 3.0 L/183,WA1AVAF18KD011023,1993,28882
2019,Audi,Q8 3.0T Premium,Used,"$58,989 ",4.8,27,Dealer,Mercedes-Benz of Sugar Land,4.5,540,15625 Southwest Fwy Sugar Land,TX,77478,Good,4.9,4.8,4.8,4.6,5,4.9,Samurai Gray Metallic,Black,All-wheel Drive,17,22,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,WA1AVAF11KD016600,T62295,31305
2019,Audi,Q8 3.0T Prestige,Used,"$68,165 ",4.8,27,Dealer,Toyota of Lincoln Park,4.2,380,1561 N Fremont St Chicago,IL,60642,Fair,4.9,4.8,4.8,4.6,5,4.9,Daytona Gray Pearl Effect,Black,All-wheel Drive,17,22,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,WA1FVAF19KD023462,K1814,26189
2019,BMW,X5 xDrive50i,BMW Certified,"$63,999 ",4.7,55,Dealer,BMW Fresno,4.8,315,7171 N Palm Ave Fresno,CA,93650,Good,5,4.9,4.9,4.4,4.7,4.6,Carbon Black Metallic,Black,All-wheel Drive,17,22,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,5UXJU2C59KLN65973,24055,35402
2018,Chevrolet,Silverado 1500 LT,Used,"$33,375 ",4.6,349,Dealer,Bob Johnson Chevrolet Buick,2.7,6,54 Caprara Drive Pulaski,NY,13142,Great,4.7,4.6,4.6,4.5,4.7,4.6,Black,Black,Four-wheel Drive,17,22,Gasoline,6-Speed Automatic,5.3L V8 16V GDI OHV,1GCVKREC8JZ121573,CH221632A,60150
2015,Chevrolet,Silverado 1500 LT,Used,"$34,725 ",4.6,250,Dealer,Steve Jones Chrysler Dodge Jeep RAM FIAT,4.3,13,2612 TN-46 Dickson,TN,37055,Good,4.7,4.6,4.6,4.4,4.8,4.6,Tungsten Metallic,Black,Four-wheel Drive,17,22,Gasoline,6-Speed Automatic,5.3L V8 16V GDI OHV,3GCUKREC8FG509647,T509647,49437
2020,Ford,Expedition Limited,Used,"$54,499 ",4.9,27,Dealer,AutoNation Toyota Fort Myers,4.4,3132,2555 Colonial Blvd Fort Myers,FL,33907,Good,5,4.9,4.9,4.6,4.9,4.8,Star White,–,Four-wheel Drive,17,22,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,1FMJU2ATXLEA14715,LEA14715,39297
2021,Ford,Expedition Limited,Used,"$65,900 ",5,2,Dealer,Volvo Cars Oklahoma City,4.9,446,14220 Broadway Ext. Edmond,OK,73103,Good,5,5,5,5,5,5,Agate Black Metallic,Ebony,Four-wheel Drive,17,22,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1FMJU2AT5MEA04627,VA3205A,28013
2019,Land,Rover Range Rover Sport 5.0L Supercharged Dynamic,Used,"$73,995 ",4.7,11,Dealer,"Howard Orloff Jaguar, Volvo Cars, Land Rover",4.5,208,1924 N Paulina St Chicago,IL,60622,Great,4.7,4.9,4.7,4.3,4.9,4.6,Santorini Black,Ebony/Ebony/Ebony/Ebony,Four-wheel Drive,17,22,Gasoline,Automatic,V8,SALWR2RE9KA824711,P16582,45685
2020,Land,Rover Defender 110 SE,Used,"$76,988 ",4.1,6,Dealer,Baker Motor Company of Charleston,3.9,202,1511 Savannah Hwy Charleston,SC,29407,Good,4.3,4.5,4.3,4,4.3,3.7,Pangea Green,Khaki,Four-wheel Drive,17,22,Gasoline,Automatic,V6,SALEPEEU9L2008321,LR1492A,45909
2020,Land,Rover Defender 110 HSE,Used,"$77,900 ",4.1,6,Dealer,Jaguar Land Rover Buckhead,4.5,174,3040 Piedmont Rd NE Atlanta,GA,30305,Good,4.3,4.5,4.3,4,4.3,3.7,Santorini Black,Ebony / Ebony,Four-wheel Drive,17,22,Gasoline,Automatic,V6,SALE97EU5L2031715,B9083R,17506
2020,Land,Rover Defender 110 First Edition,Used,"$78,900 ",4.1,6,Dealer,Hennessy Jaguar Land Rover of North Atlanta,4.5,164,1505 Mansell Road Alpharetta,GA,30009,Good,4.3,4.5,4.3,4,4.3,3.7,Indus Silver,Ebony,Four-wheel Drive,17,22,Gasoline,Automatic,V6,SALE17EUXL2001553,N8647R,19085
2019,Land,Rover Range Rover Sport Autobiography,Used,"$83,993 ",4.7,11,Dealer,BMW of Rockville,4.6,1611,1300 Rockville Pike Rockville,MD,20852,Good,4.7,4.9,4.7,4.3,4.9,4.6,Santorini Black,Ebony/Ebony/Ebony/Ebony,Four-wheel Drive,17,22,Gasoline,8-Speed Automatic,5.0L V8 32V GDI DOHC Supercharged,SALWV2RE1KA818381,KA818381,37352
2021,Land,Rover Defender 110 X,Used,"$103,982 ",5,4,Dealer,Warren Henry Auto Group,4.8,531,2300 NE 151st St North Miami,FL,33181,NA,5,4.8,5,4.7,5,5,Santorini Black,Ebony,Four-wheel Drive,17,22,Gasoline,Automatic,V6,SALEX7RU2M2050529,NM2050529T,13681
2021,Land,Rover Defender X,Used,"$105,991 ",5,4,Dealer,Warren Henry Auto Group,4.8,531,2300 NE 151st St North Miami,FL,33181,Fair,5,4.8,5,4.7,5,5,Gondwana Stone,Ebony,Four-wheel Drive,17,22,Gasoline,Automatic,V6,SALEX6RU4M2061722,NM2061722T,5840
2021,Land,Rover Defender 110 X-Dynamic HSE,Used,"$113,985 ",5,4,Dealer,Arrowhead Jaguar Land Rover,1,3,19350 N,AZ-101,Loop,NA,5,4.8,5,4.7,5,5,Fuji White,Khaki,Four-wheel Drive,17,22,Gasoline,Automatic,V6,SALE3ERU6M2035810,P2109790A,21267
2008,Lexus,RX 350 Base,Used,"$11,495 ",4.6,79,Dealer,Ideal Cars USA.com,3.7,44,521 US-130 Hightstown,NJ,8520,Great,4.7,4.4,4.7,4.5,4.6,4.7,Crystal White,Tan,All-wheel Drive,17,22,Gasoline,5-SPEED A/T,V6 Cylinder Engine,2T2HK31U58C091554,U091554,114708
2008,Lexus,RX 350 Base (A5),Used,"$11,995 ",4.6,79,Dealer,J&S Autohaus III,3.8,15,2006 Nottingham Way Hamilton,NJ,8619,Fair,4.7,4.4,4.7,4.5,4.6,4.7,Blue,Beige,All-wheel Drive,17,22,Gasoline,5-Speed Automatic,3.5L V6 24V MPFI DOHC,2T2HK31U08C066903,3M6903,90958
2014,Mercedes-Benz,M-Class ML 350 4MATIC,Used,"$22,792 ",4.7,60,Dealer,AutoCenters Herculaneum,3.6,38,1225 McNutt St Herculaneum,MO,63048,Fair,4.8,4.8,4.7,4.4,4.7,4.6,Brown,Almond Beige,All-wheel Drive,17,22,E85 Flex Fuel,7-Speed Automatic,3.5L V6 24V GDI DOHC Flexible Fuel,4JGDA5HB6EA365183,75913R,82171
2016,Mercedes-Benz,GLE-Class GLE 350 4MATIC,Used,"$29,985 ",4.7,11,Dealer,MotorHub Inc.,1.6,4,696 Burnside Ave Inwood,NY,11096,Fair,4.9,4.9,4.7,4.1,4.8,4.7,Off White,Beige,All-wheel Drive,17,22,E85 Flex Fuel,7-Speed Automatic,3.5L V6 24V GDI DOHC Flexible Fuel,4JGDA5HB2GA620320,GA620320,65996
2018,Mercedes-Benz,GLS 450 Base 4MATIC,Used,"$45,995 ",4.8,13,Dealer,AW Auto and Truck Wholesalers,3.5,18,39 Industrial Ave Hasbrouck Heights,NJ,7604,Fair,4.8,4.8,4.8,4.6,4.6,4.8,Black,–,All-wheel Drive,17,22,Gasoline,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,4JGDF6EE1JB021013,86929N,39243
2018,Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,Used,"$48,995 ",4.9,14,Dealer,Victory Mitsubishi,3.4,472,4070 Boston rd Bronx,NY,10475,Good,4.9,4.9,4.9,4.8,4.8,5,Black,–,All-wheel Drive,17,22,Gasoline,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,4JGED6EB0JA103322,18393T,61238
2018,Mercedes-Benz,GLS 450 GLS 450,Used,"$50,944 ",4.8,13,Dealer,BMW of Gwinnett Place,4.7,846,3264 Commerce Ave Duluth,GA,30096,Good,4.8,4.8,4.8,4.6,4.6,4.8,Gray,–,All-wheel Drive,17,22,Gasoline,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,4JGDF6EE8JB096212,P43128A,39525
2019,Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,Used,"$57,595 ",5,10,Dealer,INFINITI of Englewood,3.7,21,60 Rockwood Place ENGLEWOOD,NJ,7631,Great,5,5,5,4.8,5,5,Black,Black,All-wheel Drive,17,22,Gasoline,9-SPEED A/T,V6 Cylinder Engine,4JGED6EB6KA151375,KA151375,41678
2019,Mercedes-Benz,AMG GLE 43 4MATIC Coupe,Used,"$59,800 ",5,10,Dealer,Deluxe Auto Sales,4.7,1565,500 Commerce Rd Linden,NJ,7036,Good,5,5,5,4.8,5,5,Black,Black,All-wheel Drive,17,22,Gasoline,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,4JGED6EB6KA126315,15603,38424
2018,Nissan,Frontier S,Used,"$22,987 ",4.6,109,Dealer,Jimmy Britt Chrysler Dodge Jeep Ram,4.7,724,2054 US-441 Dublin,GA,31021,Good,4.6,4.4,4.7,4.7,4.6,4.8,Brilliant Silver,Steel,Rear-wheel Drive,17,22,Gasoline,5-Speed Automatic,2.5L I4 16V MPFI DOHC,1N6BD0CT2JN756305,P2246,25982
2022,Nissan,Frontier PRO-4X,Used,"$55,035 ",4.6,9,Dealer,Winchester Mitsubishi,4.6,825,3880 Valley Pike Winchester,VA,22602,Fair,4.4,4.6,5,4.4,4.8,4.7,Tactical Green,Gray,Four-wheel Drive,17,22,Gasoline,9-Speed Automatic,3.8L V6 24V GDI DOHC,1N6ED1EK4NN628967,NN628967,2000
2021,Porsche,Macan GTS,Porsche Certified,"$84,888 ",4.9,3,Dealer,Porsche Delaware,4.8,213,1851 Ogletown Rd Newark,DE,19711,Great,4.7,5,5,4.7,4.7,5,White,Black,All-wheel Drive,17,22,Gasoline,7-Speed Automatic with Auto-Shift,2.9L V6 24V GDI DOHC Twin Turbo,WP1AG2A59MLB51640,R1972,7484
2013,Toyota,Highlander Limited,Used,"$17,995 ",4.7,140,Dealer,Unlimited Motors,4.4,266,17317 Westfield Park Dr Westfield,IN,46074,Fair,4.7,4.7,4.7,4.7,4.7,4.8,Sizzling Crimson Mica,Sand Beige,All-wheel Drive,17,22,Gasoline,5-Speed Automatic,3.5L V6 24V MPFI DOHC,5TDDK3EH7DS236949,STK236949,145116
2013,Toyota,Highlander SE,Used,"$19,750 ",4.7,140,Dealer,Sheehy Toyota of Stafford,4.8,1431,95 Garrisonville Rd Stafford,VA,22554,Good,4.7,4.7,4.7,4.7,4.7,4.8,Silver,Black,All-wheel Drive,17,22,Gasoline,5-Speed Automatic,3.5L V6 24V MPFI DOHC,5TDBK3EH6DS185144,Q021920A,106506
2013,Toyota,Highlander Base Plus,Used,"$20,700 ",4.7,140,Dealer,Mazda of New Rochelle,4.7,780,149 Main St New Rochelle,NY,10801,Fair,4.7,4.7,4.7,4.7,4.7,4.8,Black,Black,All-wheel Drive,17,22,Gasoline,5-Speed Automatic,3.5L V6 24V MPFI DOHC,5TDBK3EH6DS216313,MU8227,60419
2012,Toyota,4Runner Limited,Used,"$24,999 ",4.7,34,Dealer,Apexcars.net,4.7,26,4949 Thornton Ave Fremont,CA,94536,Fair,4.7,4.6,4.4,4.6,4.9,4.9,Silver,Black / Graphite,Four-wheel Drive,17,22,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,JTEBU5JR2C5089838,P089838A,151989
